launcher,date,payload,payload_detail,orbit,location,status
New Glenn,2025-01-16T07:03:00Z,Blue Ring Pathfinder (Maiden Flight),"Maiden flight of the New Glenn launch vehicle. Will carry the prototype DarkSky-1 Blue Ring Pathfinder, consisting of communications array, power systems, and a flight computer affixed to a secondary payload adapter ring, remaining attached to the 2nd stage. This launch will serve as New Glenn's first National Security Space Launch certification flight.",Medium Earth Orbit,"LC-36, Cape Canaveral SFS, Florida, USA",Success
Starship-Super Heavy Block 1/2,2025-01-16T22:37:00Z,Starship Flight 7,"Ship 33 will deploy 10 Starlink simulators, similar in size and weight to next-generation Starlink satellites as the first exercise of a satellite deploy mission. The Starlink simulators will be on the same suborbital trajectory as Starship, with splashdown targeted in the Indian Ocean. A relight of a single Raptor engine while in space is also planned.",Suborbital,"Orbital Launch Pad A, Starbase, Texas, USA",Failure
Long March 2D,2025-01-17T04:07:00Z,PRSC-EO1,Optical Earth observation satellite for SUPARCO of Pakistan.Hitchhiking payloads:* DAO-1* Blue Carbon 1,Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Ceres 1,2025-01-20T10:11:00Z,On Your Shoulders,Carried 5 satellites to sun synchronous orbit:* Yunyao-1 37 to 40* Jitianxing A-05,Sun-Synchronous Orbit,"Site 95A, Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-01-21T05:24:00Z,"Starlink Group 13-1, USA 485 & USA 486",SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.SpaceX launched two classified payloads on this mission identified as USA 485 and USA 486 by the US government. It is believed these two satellites are for the NRO's Proliferated Architecture and are based off the company's Starshield satellite bus derived from the Starlink satellite bus.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-01-21T15:45:00Z,Starlink Group 11-8,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Long March 6A,2025-01-23T05:15:00Z,G60 Polar Group 06,"18 Low Earth Orbit communication satellites with Ku, Q and V band payloads for the G60 constellation operated by Shanghai Spacecom Satellite Technology (SSST) with funding backed by the Shanghai local government.Initial constellation will consist of 1296 satellites by 2027 with long term plans to expand it to 12000 satellites.",Polar Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Long March 3B/E,2025-01-23T15:32:00Z,TJSW-14,Chinese classified satellite claimed to be for communication technology test purposes. Actual mission not known.,Geostationary Transfer Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-01-24T14:07:00Z,Starlink Group 11-6,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-01-27T22:05:00Z,Starlink Group 12-7,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
GSLV Mk II,2025-01-29T00:53:00Z,NVS-02 (IRNSS-1K),"The NVS, previously IRNSS, constellation is not a global positioning constellation, like GPS, GLONASS, Galileo, or Beidou-3, but a regional one, similar to the Chinese Beidou-1 and 2, or the Japanese QZSS, serving only the Indian sub-continent. IRNSS satellites have two payloads: a navigation payload and CDMA ranging payload in addition to a laser retro-reflector. The payload generates navigation signals at L5 and S-band. The design of the payload makes the IRNSS system interoperable and compatible with Global Positioning System (GPS) and Galileo systems. The satellite is powered by two solar arrays, which generate up to 1,660 watts, and has a lifetime of ten years.",Geostationary Transfer Orbit,"Second Launch Pad, Satish Dhawan Space Centre, India",Success
Falcon 9 Block 5,2025-01-30T01:34:00Z,SPAINSAT New Generation I,"SPAINSAT NG is Hisdesat's largest project since its foundation. Its technological complexity and strategic relevance will position the company as an international benchmark in satellite communications. The new Spainsat NG generation will multiply by 16 times the capacity in X and Ka military band with respect to the current devices and will add a new payload in UHF band. In addition, it will operate with active X-band antennas in receive and transmit. Pioneers in the European aerospace sector, each of them will be assigned 16 different areas of operation to perform their coverage services with electronic configuration.The SpainSat NG I & II will replace the current SpainSat and XTAR-EUR and will incorporate the latest technological advances in communications to reinforce their capabilities, security levels and resilience. They will have a useful life of about 15 years, which means that they will be fully operational until the 2040 threshold.",Geostationary Transfer Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-02-01T23:02:00Z,Starlink Group 11-4,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
H3-22S,2025-02-02T08:30:00Z,Michibiki 6,"QZSS (Quasi Zenith Satellite System) is a Japanese satellite navigation system operating from inclined, elliptical geosynchronous orbits to achieve optimal high-elevation visibility in urban canyons and mountainous areas, as well as from geostationary orbits. The navigation system objective is to broadcast GPS-interoperable and augmentation signals as well as original Japanese (QZSS) signals from a seven-spacecraft constellation.Michibiki 6 also carries a Space Situational Awareness payload from the US Space Force developed by the MIT Lincoln Laboratory known as the Situational Awareness Camera Hosted Instrument (SÃCHI).",Geostationary Transfer Orbit,"LA-Y2, Tanegashima Space Center, Japan",Success
Falcon 9 Block 5,2025-02-04T10:15:00Z,Starlink Group 12-3,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
New Shepard,2025-02-04T16:00:00Z,NS-29,"The NS-29 mission simulates the Moon’s gravity and fly 30 payloads, all but one of which is focused on testing lunar-related technologies.The payloads will experience at least two minutes of lunar gravity forces, a first for New Shepard and made possible in part through support from NASA. The flight will test six broad lunar technology areas: In-situ resource utilization, dust mitigation, advanced habitation systems, sensors and instrumentation, small spacecraft technologies, and entry descent and landing. Proving out these technologies at lower cost is another step toward Blue Origin’s mission to lower the cost of access to space for the benefit of Earth. It also enables NASA and other lunar surface technology providers to test innovations critical to achieving Artemis program goals and exploring the Moon’s surface.The New Shepard crew capsule is using its Reaction Control System (RCS) to spin up to approximately 11 revolutions per minute. This spin rate simulates one-sixth Earth gravity at the midpoint of the crew capsule lockers. In simulated lunar gravity, customers can accelerate their learning and technology readiness for lunar payloads at much lower cost.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Falcon 9 Block 5,2025-02-04T23:13:00Z,WorldView Legion 5 & 6,"WorldView Legion is a constellation of Earth observation satellites built and operated by Maxar. Constellation is planned to consist of 6 satellites in both polar and mid-inclination orbits, providing 30 cm-class resolution.",Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Soyuz 2.1v/Volga,2025-02-05T03:59:00Z,Cosmos 2581/2582/2583,Unidentified classified satellites for the Russian military.,Polar Orbit,"Site 43/4, Plesetsk Cosmodrome, Russia",Success
Falcon 9 Block 5,2025-02-08T19:18:00Z,Starlink Group 12-9,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-02-08T20:43:00Z,IoT 4 You and Me,"Fourth batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 30 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",Low Earth Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-02-11T02:09:00Z,Starlink Group 11-10,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Long March 8A,2025-02-11T09:30:00Z,SatNet LEO Group 02 (Demo Flight),"Demonstration flight of the Long March 8A rocket with upgraded first stage and boosters engines, and a new larger liquid hydrogen/liquid oxygen second stage with new YF-75H engines derived from ones used on the Long March 5.Payload is a batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.",Low Earth Orbit,"LC-201, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-02-11T18:53:00Z,Starlink Group 12-18,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-02-15T06:14:00Z,Starlink Group 12-8,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-02-18T23:17:00Z,Fasten Your Space Belts,"The first of five BlackSky Technology missions to deploy its new next-generation BlackSky Gen-3 satellites. The commercial constellation of Gen-3 satellites has the capability to produce imagery with 50-centimeter resolution and host multiple sensors, including shortwave infrared (SWIR). The improved resolution and enhanced spectral diversity of the Gen-3 satellites will expand BlackSky's ability to provide real-time information to its customers.",Low Earth Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-02-18T23:21:00Z,Starlink Group 10-12,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-02-21T15:19:00Z,Starlink Group 12-14,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 3B/E,2025-02-22T12:11:00Z,ChinaSat 10R,"Ku-band geostationary communication satellite for China Satcom at 110.5° East, replacing ChinaSat 10.",Geostationary Transfer Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-02-23T01:38:00Z,Starlink Group 15-1,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
New Shepard,2025-02-25T15:49:00Z,NS-30,"New Shepard's tenth crewed flight. The 6-person crew consists of Lane Bess, Jesús Calleja, Elaine Chia Hyde, Dr. Richard Scott, Tushar Shah, and an undisclosed sixth crew member. Lane Bess is flying on New Shepard for the second time, the fourth astronaut to do so.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Falcon 9 Block 5,2025-02-27T00:16:00Z,Nova-C IM-2 & Others,"The Nova-C lunar lander, named """"Athena"""", will deliver The Regolith and Ice Drill for Exploring New Terrain (TRIDENT), also known as the Polar Resources Ice Mining Experiment-1 (PRIME-1), and the Mass Spectrometer observing lunar operations (MSolo) for NASA, and several other payloads for commercial companies to the Mons Mouton region of the Moon approximately 100 miles from the Moon’s south pole.PRIME-1 will drill into the lunar surface, harvest and bring ice to the Moon’s surface, and use a mass spectrometer to measure how much is lost to sublimation as it turns from solid into vapor in a vacuum.The mission will also carry a deployable lander called Micro Nova (µNova) for NASA's Tipping Point Program named """"Grace"""", which will demonstrate the ability to carry a payload of 1kg and travel more than 2.5 km by doing """"hops"""". During the flights, µNova will also provide high-resolution imagery of craters.Epic Aerospace will send their CHIMERA-GEO transfer ship into space to go to a geostationary orbit, with the aim of covering an orbital position. For this launch, CHIMERA-GEO is carrying an unidentified 16U cubesat manifested by Exolaunch.A payload for AstroForge, a company that plans to mine asteroid resources. Odin intends to head into deep space to observe near-Earth asteroid 2022 OB5 in preparation for their first retrieval mission. Odin will fly by the asteroid at a distance of about 1 kilometer, arriving 11 months after launch.Lunar Trailblazer is a small (class D) lunar orbiter, part of NASA's SIMPLEx program, that will detect and map water on the lunar surface to determine how its form, abundance, and location relate to geology. Its mission is to aid in the understanding of lunar water and the Moon's water cycle.",Trans Lunar Injection,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-02-27T03:34:00Z,Starlink Group 12-13,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 2C,2025-02-27T07:08:00Z,SuperView Neo 1-03 & 04,"Commercial Earth observation satellites built by CAST for China Siwei Survey and Mapping Technology Co. Ltd., with resolution down to 0.5 meters.",Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Soyuz 2.1a,2025-02-27T21:24:00Z,Progress MS-30,"Progress (in Russian: """"Прогресс"""") MS-30 is a Russian cargo vehicle which will resupply the International Space Station. This will be the 183rd flight of a Progress.It was the first cargo to fly in space, and also the first to bring freight back to Earth, thanks to a Raduga capsule.It's a cargo ship developed to supply the Salyut 6 space station, which was subsequently used successively to supply the crews staying on board the Salyut 7, Mir and from the International Space Station. It made its first flight in 1978 and was the first vessel of this type: it enabled the crews to stay in space by bringing consumables (food, water, fuel, oxygen) and spare parts.The Progress spacecraft is largely derived from the Soyuz spacecraft intended for the transport of crews in low orbit. It is launched by a Soyuz rocket lifting off from the Baikonur cosmodrome. It has a mass of around 7 tonnes for a length of 7.9 meters and its carrying capacity is around 2.5 tonnes. It can transport both pressurized freight and gases, propellants and liquids but is not designed to bring freight back to Earth (except with a Raduga capsule). Like the Soyuz spacecraft, it is equipped with a Kours automatic docking system. Several variants of the Progress spacecraft have been developed over the decades with increasing capabilities.",Low Earth Orbit,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success
Kuaizhou 1A,2025-03-01T10:00:00Z,Unknown Payload,"","","Site 95A, Jiuquan Satellite Launch Center, China",Prelaunch Failure
Soyuz 2.1b/Fregat-M,2025-03-02T22:22:00Z,Cosmos 2584,"GLONASS-K is the latest satellite design intended as a part of the Russian GLONASS radio-based satellite navigation system. Developed by ISS Reshetnev (Reshetnev Information Satellite Systems) and first launched on 26 February 2011, it is a substantial improvement of the previous GLONASS-M second-generation satellites, having a longer lifespan and better accuracy.",Medium Earth Orbit,"Site 43/3, Plesetsk Cosmodrome, Russia",Success
Falcon 9 Block 5,2025-03-03T02:24:00Z,Starlink Group 12-20,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Ariane 62,2025-03-06T16:24:00Z,CSO-3,"The French CSO (Composante Spatiale Optique) high-resolution reconnaissance satellites are the optical space component of the MUSIS program that will replace the current Hélios 2 military observation satellites.CNES, the French space agency, has notified Astrium that the DGA (Direction Générale de l'Armement), the French arms procurement agency, has awarded the company a 795€ million contract for two satellites for the CSO program. The contract also includes an option for a third satellite.As the prime contractor for the CSO satellites programme, Astrium will provide the agile platform and avionics, and will also be responsible for the integration work, testing, and delivery of the satellites to CNES. Thales Alenia Space will provide Astrium with very high-resolution optical instruments.",Sun-Synchronous Orbit,"ELA-4, Guiana Space Centre, French Guiana, France",Success
Starship-Super Heavy Block 1/2,2025-03-06T23:30:00Z,Starship Flight 8,"Ship 34 will deploy 4 Starlink simulators, similar in size and weight to next-generation Starlink satellites as the first exercise of a satellite deploy mission. The Starlink simulators will be on the same suborbital trajectory as Starship, with splashdown targeted in the Indian Ocean. A relight of a single Raptor engine while in space is also planned.",Suborbital,"Orbital Launch Pad A, Starbase, Texas, USA",Failure
Long March 3B/E,2025-03-09T17:17:00Z,TJSW-15,Chinese classified satellite claimed to be for communication technology test purposes. Actual mission not known.,Geostationary Transfer Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Long March 8,2025-03-11T16:38:00Z,G60 Polar Group 05,"18 Low Earth Orbit communication satellites with Ku, Q and V band payloads for the G60 constellation operated by Shanghai Spacecom Satellite Technology (SSST) with funding backed by the Shanghai local government.Initial constellation will consist of 1296 satellites by 2027 with long term plans to expand it to 12000 satellites.",Polar Orbit,"Commercial LC-1, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-03-12T03:10:00Z,SPHEREx & PUNCH,"The Spectro-Photometer for the History of the Universe, Epoch of Reionization and Ices Explorer mission will provide the first all-sky spectral survey. Over a two-year planned mission, the SPHEREx Observatory will collect data on more than 300 million galaxies along with more than 100 million stars in the Milky Way in order to explore the origins of the universe.PUNCH is a NASA Small Explorer (SMEX) mission to better understand how the mass and energy of the Sun’s corona become the solar wind that fills the solar system. Four suitcase-sized satellites will work together to produce images of the entire inner solar system around the clock.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-03-13T02:35:00Z,Starlink Group 12-21,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-03-14T23:03:00Z,SpaceX Crew-10,"SpaceX Crew-10 is the tenth operational crewed rotation mission of a Crew Dragon spacecraft to the International Space Station. The crew is composed of NASA astronauts commander Anne McClain and pilot Nichole Ayes, and mission specialists Takuya Onishi of Japan's JAXA and Kirill Peskov of Russia's Roscosmos. Nichole Ayers will become the first member of NASA’s 2021 astronaut class to launch into orbit.Crew-10 was planned to debut capsule C213, but due to capsule delays, the decision was made to use C210 (Endurance) instead.",Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Electron/Curie,2025-03-15T00:00:00Z,The Lightning God Reigns,"iQPS’s satellites are small, high-performance SAR satellites that use a lightweight, large, stowable antenna to collect high-resolution images of Earth, even through clouds and adverse weather conditions. Ultimately, the iQPS constellation is planned to have 36 satellites capable of monitoring specific fixed points on Earth every 10 minutes. In addition to launching on Electron, the QPS-SAR satellite will use a Rocket Lab Motorized Lightband as its separation system for deployment to space.",Low Earth Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
Long March 2D,2025-03-15T04:11:00Z,SuperView Neo 3-02,"Commercial Earth observation satellite built by CAST for China Siwei Survey and Mapping Technology Co. Ltd, with 0.5 m resolution over 9 image wavelength bands and a 130 km wide imaging swath.Hitch-hiking payload: Tianyan 23",Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-03-15T06:43:00Z,Transporter 13,"Transporter 13 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to SSO for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-03-15T11:35:00Z,Starlink Group 12-16,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Angara 1.2,2025-03-16T10:50:00Z,Cosmos 2585 to 2587,"The Strela (Russian: Стрела) are Soviet, then Russian, military space telecommunication satellites, in use since 1964.These satellites operate as mailboxes (""""store-and-forward""""): they remember the received messages and then resend them after the scheduled time, or by a command from the Earth. Some sources state the satellites are capable of only three months of active operation, but in accordance with others they can serve for about five years. The satellites are used for transmission of encrypted messages and images.The operational constellation consists of 12 satellites in two orbital planes, spaced 90° apart. The spacecraft had a cylindrical body with a gravity-gradient boom, which was extended on-orbit to provide passive attitude stabilization. On-board storage was 12 Mbits of data, with a transmission rate of 2.4 kbit/s.The first three satellites were launched in 1964 by a Cosmos launcher. After one year of service, new and improved satellites were launched, called Strela-2. In 1970, these satellites were modernized, and became the Strela-1M and Strela-2M satellites. From 1985, these satellites will be gradually replaced by Strela-3, and then by Strela-3M from 2005. A civilian version of these satellites was created, called Goniets.Initially launched by six on Tsyklon, when the launcher was retired, they were only launched by two on Cosmos, before Rokot was put into service and allowed the sending of triplets of Strela satellites.",Low Earth Orbit,"Site 35/1, Plesetsk Cosmodrome, Russia",Success
Ceres 1,2025-03-17T08:07:00Z,Auld Lang Syne,Carried 8 satellites to 535 km high SSO:* Yunyao-1 #55-60* AIRSAT-06 & 07,Sun-Synchronous Orbit,"Site 95A, Jiuquan Satellite Launch Center, China",Success
Electron/Curie,2025-03-18T01:31:00Z,High Five,"Fifth and final batch of five satellites for the French Kinéis IoT constellation designed to operate with 25 nanosatellites of 28 kg each. The constellation will enable Kinéis, a company backed by private and public investors including the French government’s space agency CNES (Centre National d'Études Spatiales) and CLS (Collecte Localisation Satellites) an international space-based solutions provider, to improve its global IoT connectivity.",Sun-Synchronous Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-03-18T19:57:00Z,Starlink Group 12-25,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-03-21T06:49:00Z,NROL-57 (USA-487 to 497),Eighth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Ceres 1,2025-03-21T11:07:00Z,Vernal Ascent,6 weather satellites performing atmospheric measurements using GNSS Radio Occultation for a Tianjin based company. Constellation is planned to have an eventual 90 satellites.,Sun-Synchronous Orbit,"Site 95A, Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-03-24T17:48:00Z,NROL-69 (USA-498),"NROL-69 is a classified mission for the National Reconnaissance Office, suspected to be a Naval Ocean Surveillance System satellite.",Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-03-26T15:30:00Z,Finding Hot Wildfires Near You,"OroraTech is developing a constellation of satellites with thermal infrared cameras that can provide 24/7 monitoring of wildfires globally, supporting better and faster wildfire response to protect forests, people, and infrastructure worldwide. The mission will deploy its latest plane of satellites called OTC-P1 to their current constellation, further expanding OroraTech’s capabilities to first responders, governments, and industry partners. The company will expand their constellation with up to 100 satellites in total by 2028.",Sun-Synchronous Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
Long March 3B/E,2025-03-26T15:55:00Z,Tianlian-2-04,The TL 2 (Tian Lian 2) satellite is a geostationary relay satellite based on the DFH-4 Bus (three-axis-stabilized telecommunications satellite platform).TL 2 will be used to support real-time communications between orbiting satellites and ground control stations. This system will replace the current network of ground-based space tracking and telemetry stations and space tracking ships.TL 2 represents the second generation of this relay satellite network.,Geostationary Transfer Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-03-26T22:11:00Z,Starlink Group 11-7,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Long March 7A,2025-03-29T16:05:00Z,TJSW-16,Chinese classified satellite claimed to be for communication technology test purposes. Actual mission not known.,Geostationary Transfer Orbit,"LC-201, Wenchang Space Launch Site, China",Success
Spectrum,2025-03-30T10:30:00Z,Going Full Spectrum (Demo Flight),"Demo flight of the Spectrum rocket towards LEO, without any payload.",Low Earth Orbit,"Orbital Launch Pad, Andøya Rocket Range, Nordland, Norway",Failure
